unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1752364800,2025-07-13 00:00:00,ETH/USD,2944.6,2945.4,2939.4,2939.4,26.08985374,76688.516083356
1752361200,2025-07-12 23:00:00,ETH/USD,2939.3,2948.9,2932.1,2944.2,229.42679447,675478.368278574
1752357600,2025-07-12 22:00:00,ETH/USD,2941.1,2942.1,2926.9,2939.3,164.64737020,483948.0152288601
1752354000,2025-07-12 21:00:00,ETH/USD,2918.3,2940.9,2916.4,2939.3,301.72214711,886851.907000423
1752350400,2025-07-12 20:00:00,ETH/USD,2942.2,2943.6,2918.6,2919.4,262.48694353,766304.3829414821
1752346800,2025-07-12 19:00:00,ETH/USD,2943.4,2946.7,2936.8,2942.1,279.26553108,821627.118990468
1752343200,2025-07-12 18:00:00,ETH/USD,2942.0,2945.6,2937.0,2943.4,194.99999188,573962.976099592
1752339600,2025-07-12 17:00:00,ETH/USD,2925.7,2944.1,2922.5,2942.8,327.29707419,963169.829926332
1752336000,2025-07-12 16:00:00,ETH/USD,2916.9,2936.2,2912.1,2925.7,211.53572845,618890.080726165
1752332400,2025-07-12 15:00:00,ETH/USD,2929.4,2932.1,2905.5,2917.0,356.55037594,1040057.4466169799
1752328800,2025-07-12 14:00:00,ETH/USD,2940.9,2950.1,2925.4,2929.5,316.77967535,928006.058937825
1752325200,2025-07-12 13:00:00,ETH/USD,2944.8,2944.8,2919.7,2940.9,264.51592969,777914.897625321
1752321600,2025-07-12 12:00:00,ETH/USD,2964.8,2968.7,2922.1,2944.9,483.75287785,1424603.8499804651
1752318000,2025-07-12 11:00:00,ETH/USD,2977.3,2980.1,2963.1,2964.9,315.25096600,934687.5890934
1752314400,2025-07-12 10:00:00,ETH/USD,2975.2,2980.6,2969.2,2977.1,497.75616459,1481869.877600889
1752310800,2025-07-12 09:00:00,ETH/USD,2968.4,2978.4,2964.0,2975.3,212.95912007,633617.2699442711
1752307200,2025-07-12 08:00:00,ETH/USD,2964.5,2971.5,2960.0,2968.5,251.18513215,745643.0647872749
1752303600,2025-07-12 07:00:00,ETH/USD,2961.5,2979.2,2961.2,2964.7,246.93612917,732091.542150299
1752300000,2025-07-12 06:00:00,ETH/USD,2954.1,2964.5,2947.3,2961.4,190.84841026,565178.482143964
1752296400,2025-07-12 05:00:00,ETH/USD,2953.3,2961.4,2945.1,2954.3,408.41590546,1206583.109500478
1752292800,2025-07-12 04:00:00,ETH/USD,2968.4,2970.3,2944.1,2952.9,213.07807870,629198.25859323
1752289200,2025-07-12 03:00:00,ETH/USD,2958.5,2970.0,2957.1,2967.4,212.47180096,630488.822168704
1752285600,2025-07-12 02:00:00,ETH/USD,2960.1,2972.3,2956.2,2958.5,281.06716102,831537.1958776701
1752282000,2025-07-12 01:00:00,ETH/USD,2954.3,2968.1,2954.0,2960.1,333.98669918,988634.028242718
1752278400,2025-07-12 00:00:00,ETH/USD,2959.4,2967.3,2930.6,2954.0,421.58183948,1245352.75382392
1752274800,2025-07-11 23:00:00,ETH/USD,2952.0,2962.6,2950.3,2959.3,263.40155942,779484.2347916061
1752271200,2025-07-11 22:00:00,ETH/USD,2967.6,2972.6,2924.4,2951.7,1018.77729671,3007124.946698907
1752267600,2025-07-11 21:00:00,ETH/USD,2976.7,2998.0,2958.3,2968.4,368.00375802,1092382.355306568
1752264000,2025-07-11 20:00:00,ETH/USD,3009.7,3011.6,2976.0,2976.7,564.88286494,1681486.8240668979
1752260400,2025-07-11 19:00:00,ETH/USD,2997.6,3011.9,2980.4,3009.7,3101.36558168,9334179.991182296
1752256800,2025-07-11 18:00:00,ETH/USD,2994.8,2999.8,2985.1,2996.7,489.10534122,1465701.976033974
1752253200,2025-07-11 17:00:00,ETH/USD,2969.7,3002.1,2965.5,2993.9,514.83700506,1541370.509449134
1752249600,2025-07-11 16:00:00,ETH/USD,2952.2,2973.0,2938.6,2969.9,1075.72373537,3194791.921675363
1752246000,2025-07-11 15:00:00,ETH/USD,2989.6,2996.8,2937.7,2952.0,1267.07667987,3740410.35897624
1752242400,2025-07-11 14:00:00,ETH/USD,3004.7,3007.2,2982.4,2989.7,631.08891030,1886766.5151239098
1752238800,2025-07-11 13:00:00,ETH/USD,2986.9,3009.9,2976.1,3002.7,312.20242104,937450.209656808
1752235200,2025-07-11 12:00:00,ETH/USD,2985.3,2994.1,2971.7,2987.0,602.04375766,1798304.70413042
1752231600,2025-07-11 11:00:00,ETH/USD,3005.0,3007.4,2971.2,2985.8,356.46055977,1064319.939361266
1752228000,2025-07-11 10:00:00,ETH/USD,3016.0,3016.0,2995.5,3004.0,308.96847927,928141.3117270799
1752224400,2025-07-11 09:00:00,ETH/USD,3004.8,3039.7,2998.0,3016.0,569.66871618,1718120.84799888
1752220800,2025-07-11 08:00:00,ETH/USD,2971.0,3010.3,2966.7,3004.4,360.80006303,1083987.709367332
1752217200,2025-07-11 07:00:00,ETH/USD,2990.4,3004.0,2968.7,2971.9,567.08431949,1685317.889092331
1752213600,2025-07-11 06:00:00,ETH/USD,3006.5,3026.4,2988.3,2990.1,563.98893110,1686383.3028821098
1752210000,2025-07-11 05:00:00,ETH/USD,2970.9,3030.3,2968.2,3006.5,930.41071619,2797279.818225235
1752206400,2025-07-11 04:00:00,ETH/USD,2970.3,2972.2,2947.8,2970.8,412.15992144,1224444.6946139522
1752202800,2025-07-11 03:00:00,ETH/USD,2965.9,2975.6,2958.5,2970.4,341.46117413,1014276.271635752
1752199200,2025-07-11 02:00:00,ETH/USD,2955.3,2969.2,2952.8,2966.2,355.77229580,1055291.7838019598
1752195600,2025-07-11 01:00:00,ETH/USD,2937.2,2957.0,2934.3,2956.3,439.15279076,1298267.395323788
1752192000,2025-07-11 00:00:00,ETH/USD,2951.4,2957.6,2915.1,2937.5,404.82334973,1189168.589831875
1752188400,2025-07-10 23:00:00,ETH/USD,2973.7,2975.0,2935.6,2951.1,1039.24478030,3066915.27114333
1752184800,2025-07-10 22:00:00,ETH/USD,2974.2,2978.3,2952.5,2973.6,1251.78307809,3722302.1610084237
1752181200,2025-07-10 21:00:00,ETH/USD,2820.5,3000.7,2819.4,2974.8,5327.91821110,15849491.094380282
1752177600,2025-07-10 20:00:00,ETH/USD,2818.6,2828.2,2816.7,2821.0,642.37907976,1812151.3840029598
1752174000,2025-07-10 19:00:00,ETH/USD,2813.2,2823.9,2808.8,2818.6,2115.53513932,5962847.343687352
1752170400,2025-07-10 18:00:00,ETH/USD,2832.2,2842.3,2798.3,2813.1,869.64516811,2446398.822410241
1752166800,2025-07-10 17:00:00,ETH/USD,2810.2,2835.3,2803.9,2832.2,730.43026752,2068724.603670144
1752163200,2025-07-10 16:00:00,ETH/USD,2770.4,2815.4,2770.4,2809.4,823.26865926,2312890.971325044
1752159600,2025-07-10 15:00:00,ETH/USD,2777.6,2778.7,2761.4,2770.4,397.84151456,1102180.131937024
1752156000,2025-07-10 14:00:00,ETH/USD,2786.1,2794.8,2761.1,2777.9,381.61715056,1060094.282540624
1752152400,2025-07-10 13:00:00,ETH/USD,2779.3,2795.7,2774.4,2784.6,592.58362667,1650108.3668252819
1752148800,2025-07-10 12:00:00,ETH/USD,2779.8,2780.8,2769.0,2779.3,481.58268669,1338462.761117517
1752145200,2025-07-10 11:00:00,ETH/USD,2785.8,2785.8,2775.0,2779.9,188.12028901,522955.591418899
1752141600,2025-07-10 10:00:00,ETH/USD,2778.7,2787.7,2773.2,2785.6,119.47161433,332800.128877648
1752138000,2025-07-10 09:00:00,ETH/USD,2789.3,2790.7,2776.1,2778.8,224.42348292,623627.974338096
1752134400,2025-07-10 08:00:00,ETH/USD,2792.1,2797.7,2784.3,2789.3,565.71543042,1577950.050070506
1752130800,2025-07-10 07:00:00,ETH/USD,2796.7,2824.1,2788.5,2792.2,744.83857215,2079738.2611572298
1752127200,2025-07-10 06:00:00,ETH/USD,2783.1,2800.0,2781.5,2797.2,475.54741978,1330201.242608616
1752123600,2025-07-10 05:00:00,ETH/USD,2780.2,2785.9,2774.5,2782.8,377.17867344,1049612.8124488322
1752120000,2025-07-10 04:00:00,ETH/USD,2777.5,2781.2,2766.9,2780.0,439.88397145,1222877.4406309999
1752116400,2025-07-10 03:00:00,ETH/USD,2784.8,2791.6,2772.5,2777.6,386.96283706,1074827.976217856
1752112800,2025-07-10 02:00:00,ETH/USD,2775.9,2799.2,2774.9,2784.8,540.94026972,1506410.463116256
1752109200,2025-07-10 01:00:00,ETH/USD,2758.2,2779.5,2756.5,2775.1,398.54450465,1106000.854854215
1752105600,2025-07-10 00:00:00,ETH/USD,2769.9,2774.3,2758.1,2758.1,317.46602078,875603.031913318
1752102000,2025-07-09 23:00:00,ETH/USD,2780.2,2784.2,2768.3,2769.9,416.14009865,1152666.459250635
